Timestamp,PID,ProcessName,ExecutablePath,RiskScore,SuspiciousLocation,UntrustedPublisher,FrequentSmallWrites,RepeatedSameFileWrites,OutboundNetwork,FileNetworkCorrelation,PersistenceDetected,TriggeredRules
2026-04-11T13:54:18.0900252Z,12412,language_server_windows_x64,c:\Users\my pc\AppData\Local\Programs\Antigravity\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe,9,True,True,False,False,True,False,False,Suspicious Location; Untrusted Publisher; Outbound Network Activity
2026-04-11T13:54:20.1077600Z,14440,chrome,C:\Users\my pc\AppData\Local\Google\Chrome\Application\chrome.exe,9,True,True,False,False,True,False,False,Suspicious Location; Untrusted Publisher; Outbound Network Activity
2026-04-11T13:54:21.2486671Z,14348,language_server_windows_x64,c:\Users\my pc\AppData\Local\Programs\Antigravity\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe,9,True,True,False,False,True,False,False,Suspicious Location; Untrusted Publisher; Outbound Network Activity
